article_no,selling_price,inventory_quantity,inventory_value,4_weeks_sales,MOI,country
12003,3499,11,38489,2,5.5,JP
12007,9999,3,29997,0,99998,JP
12048,7999,2,15998,0,99998,JP
12127,3499,4,13996,1,4,JP
11320,7499,6,44994,0,99998,JP
11321,4999,13,64987,3,4.33,JP
11303,16999,0,0,0,0,JP
11305,16999,6,101994,0,99998,JP
12198,7499,6,44994,0,99998,JP
11304,16999,6,101994,0,99998,JP
11839,4999,8,39992,0,99998,JP
11077,2999,13,38987,5,2.6,JP
12206,7999,3,23997,0,99998,JP
11327,5999,6,35994,0,99998,JP
11325,3999,3,11997,2,1.5,JP
12196,5999,6,35994,0,99998,JP
12142,1999,18,35982,1,18,JP
12177,1999,18,35982,1,18,JP
12141,1999,20,39980,0,99998,JP
12204,7499,6,44994,0,99998,JP
12235,4999,10,49990,0,99998,JP
12215,3999,5,19995,0,99998,JP
12217,3499,5,17495,0,99998,JP
10716,699,19,13281,0,99998,JP
12139,799,20,15980,0,99998,JP
12140,999,20,19980,0,99998,JP
12166,2999,19,56981,1,19,JP
18067,2499,0,0,31,0,JP
18068,2499,12,29988,13,1,JP
18069,2499,0,0,24,0,JP
11298,0,0,0,0,0,JP
10103,12999,0,0,0,0,JP
11298,0,0,0,0,0,JP
10887,6.99,115,803.85,57,2.02,UK
10891,4.99,68,339.32,33,2.06,UK
11077,14.99,201,3012.99,155,1.37,UK
11145,14.99,58,869.42,35,1.66,UK
10985,16.99,93,1580.07,32,2.91,UK
10857,16.99,116,1970.84,19,7.16,UK
10839,19.99,128,2558.72,120,2.73,UK
10855,15.99,116,1854.84,241,0.5,UK
11395,19.99,125,2498.75,8,15.63,UK
11365,24.99,80,1999.2,32,2.5,UK
10966,24.99,10,249.9,13,0.77,UK
10904,19.99,71,1419.29,10,7.1,UK
11266,22.99,340,7816.6,143,2.85,UK
11260,22.99,136,3126.64,39,3.49,UK
11168,14.99,152,2278.48,31,6.19,UK
11167,19.99,231,4617.69,135,1.83,UK
11387,9.99,53,529.47,12,4.42,UK
10844,16.99,38,645.62,0,99998,UK
10914,17.99,16,287.84,3,5.33,UK
11284,19.99,70,1399.3,7,10,UK
11091,14.99,106,1588.94,15,7.07,UK
11251,11.99,120,1438.8,74,1.62,UK
19998,4.99,71,354.29,9,7.89,UK
11411,19.99,69,1379.31,18,3.83,UK
11427,39.99,70,2799.3,35,2,UK
18010,9.99,2,19.98,4,0.5,UK
11516,14.99,61,914.39,28,2.18,UK
11517,19.99,91,1819.09,13,7,UK
11522,19.99,193,3858.07,64,3.02,UK
11485,16.99,516,8766.84,170,3.35,UK
11521,16.99,45,764.55,6,7.5,UK
11530,49.99,50,2499.5,6,8.33,UK
11524,37.99,255,9687.45,50,5.1,UK
11533,19.99,23,459.77,0,99998,UK
11534,16.99,32,543.68,6,5.33,UK
