article_no,selling_price,inventory_quantity,inventory_value,4_weeks_sales,MOI,country
11925,9.99,17,169.83,4,4.25,USA
11811,49.99,81,4049.19,0,99998,USA
11874,19.99,12,239.88,1,12,USA
11880,14.99,0,0,0,0,USA
11953,39.99,247,9877.53,208,1.31,USA
11909,39.99,164,6558.36,130,1.71,USA
11902,26.99,59,1592.41,32,1.88,USA
11679,22.99,107,2459.93,91,1.79,USA
11419,19.99,71,1419.29,32,2.22,USA
12007,69.99,6,419.94,0,99998,USA
12008,44.99,8,359.92,0,99998,USA
12003,9.99,2,19.98,0,99998,USA
12009,29.99,21,629.79,0,99998,USA
11907,14.99,28,419.72,9,3.11,USA
11937,24.99,106,2648.94,52,2.06,USA
11502,19.99,31,619.69,5,6.2,USA
11602,39.99,6,239.94,1,6,USA
12027,39.99,6,239.94,0,99998,USA
12026,39.99,6,239.94,1,6,USA
12048,39.99,6,239.94,1,6,USA
12015,24.99,1,24.99,0,99998,USA
12018,34.99,6,209.94,2,3,USA
12014,24.99,20,499.8,1,20,USA
12017,34.99,0,0,2,0,USA
12016,34.99,26,909.74,4,6.75,USA
12049,24.99,7,174.93,0,99998,USA
11935,29.99,32,959.68,6,5.33,USA
11551,14.99,11,164.89,0,99998,USA
11552,14.99,8,119.92,2,4,USA
12033,29.99,22,659.78,0,99998,USA
12030,24.99,29,724.71,0,99998,USA
12044,14.99,5,74.95,18,0.33,USA
12041,14.99,3,44.97,5,0.6,USA
12042,14.99,11,164.89,0,99998,USA
12046,14.99,33,494.67,16,2.06,USA
12043,14.99,47,704.53,2,23.5,USA
12054,19.99,0,0,0,0,USA
11905,24.99,25,624.75,3,8.33,USA
11906,29.99,0,0,2,0,USA
11669,49.99,56,2799.44,19,2.95,USA
11983,29.99,140,4198.6,98,1.49,USA
11994,9.99,439,4385.61,374,1.5,USA
11618,29.99,65,1949.35,35,1.86,USA
11950,39.99,64,2559.36,43,1.51,USA
11944,19.99,79,1579.21,38,2.16,USA
12058,19.99,25,499.75,0,99998,USA
11914,29.99,34,1019.66,3,11.33,USA
11920,49.99,20,999.8,1,20,USA
11911,24.99,23,574.77,6,3.83,USA
11917,39.99,13,519.87,6,2.17,USA
11947,29.99,93,2789.07,66,1.71,USA
11916,29.99,29,869.71,3,9.67,USA
11912,24.99,21,524.79,22,1,USA
11913,24.99,18,449.82,14,1.29,USA
11915,29.99,34,1019.66,2,17,USA
11043,14.99,12,179.88,2,6,USA
11653,29.99,33,989.67,17,2,USA
11918,39.99,17,679.83,10,2,USA
11919,39.99,8,319.92,11,0.73,USA
11921,49.99,21,1049.79,3,7,USA
11922,49.99,24,1199.76,3,8,USA
12010,29.99,190,5698.1,108,2.34,USA
12013,29.99,108,3238.92,57,1.91,USA
11903,6.99,58,405.42,34,1.79,USA
12060,16.99,8,135.92,43,1.12,USA
11987,29.99,21,629.79,3,7,USA
11988,29.99,14,419.86,11,1.27,USA
11989,24.99,56,1399.44,20,2.8,USA
12127,9.99,10,99.9,2,5,USA
12005,9.99,6,59.94,1,6,USA
12124,14.99,4,59.96,1,4,USA
12122,29.99,5,149.95,4,1.25,USA
12123,19.99,0,0,10,0,USA
12136,19.99,12,239.88,4,3,USA
11957,14.99,19,284.81,0,99998,USA
11289,34.99,6,209.94,1,6,USA
12143,29.99,6,179.94,0,99998,USA
12144,24.99,9,224.91,2,4.5,USA
12145,74.99,9,674.91,1,9,USA
12146,29.99,4,119.96,1,4,USA
12147,19.99,9,179.91,0,99998,USA
12148,29.99,17,509.83,1,17,USA
11995,74.99,6,449.94,0,99998,USA
12159,29.99,0,0,2,0.5,USA
12152,29.99,2,59.98,1,2,USA
12171,29.99,10,299.9,0,99998,USA
12076,24.99,19,474.81,0,99998,USA
11976,14.99,71,1064.29,25,2.84,USA
12081,19.99,23,459.77,26,1.04,USA
11519,39.99,58,2319.42,3,19.33,USA
11885,19.99,19,379.81,0,99998,USA
11707,29.99,61,1829.39,13,4.69,USA
11834,39.99,37,1479.63,6,6.17,USA
11673,34.99,407,14240.93,164,2.86,USA
11303,99.99,120,11998.8,7,17.14,USA
11304,99.99,360,35996.4,16,22.5,USA
11305,99.99,180,17998.2,20,9,USA
12105,24.99,104,2598.96,101,1.28,USA
12128,4.99,89,444.11,0,99998,USA
12129,4.99,98,489.02,1,98,USA
11819,34.99,4,139.96,4,1,USA
12024,39.99,6,239.94,0,99998,USA
11323,69.99,6,419.94,0,99998,USA
12214,69.99,6,419.94,0,99998,USA
11314,29.99,4,119.96,3,1.33,USA
11315,34.99,6,209.94,2,3,USA
11316,69.99,6,419.94,0,99998,USA
12040,9.99,13,129.87,2,6.5,USA
11862,19.99,0,0,2,0,USA
12038,9.99,7,69.93,1,11,USA
12031,24.99,18,449.82,0,99998,USA
12032,29.99,6,179.94,0,99998,USA
12028,24.99,18,449.82,0,99998,USA
12029,29.99,6,179.94,0,99998,USA
12023,39.99,12,479.88,0,99998,USA
12025,39.99,6,239.94,0,99998,USA
12034,44.99,18,809.82,0,99998,USA
12036,44.99,18,809.82,0,99998,USA
12035,44.99,6,269.94,0,99998,USA
12141,9.99,134,1338.66,65,2.37,USA
12142,9.99,93,929.07,79,1.28,USA
12177,9.99,161,1608.39,77,2.1,USA
12202,44.99,12,539.88,0,99998,USA
12203,44.99,12,539.88,0,99998,USA
11320,39.99,5,199.95,1,5,USA
12198,39.99,6,239.94,0,99998,USA
11322,19.99,0,0,0,0,USA
11324,19.99,0,0,0,0,USA
11325,14.99,11,164.89,3,3.67,USA
11326,29.99,0,0,0,0,USA
12195,34.99,0,0,0,0,USA
12006,49.99,0,0,0,0,USA
12200,49.99,0,0,0,0,USA
11327,24.99,6,149.94,0,99998,USA
12196,29.99,6,179.94,0,99998,USA
12204,44.99,6,269.94,0,99998,USA
12206,44.99,12,539.88,0,99998,USA
12201,44.99,18,809.82,0,99998,USA
11991,29.99,6,179.94,0,99998,USA
12197,29.99,9,269.91,3,3,USA
12205,49.99,8,399.92,1,8,USA
12207,44.99,12,539.88,0,99998,USA
12199,39.99,1,39.99,7,0.14,USA
12233,19.99,5,99.95,0,99998,USA
12176,44.99,30,1349.7,0,99998,USA
12174,59.99,60,3599.4,0,99998,USA
12172,69.99,30,2099.7,0,99998,USA
12039,14.99,20,299.8,0,99998,USA
12215,14.99,5,74.95,0,99998,USA
12216,14.99,4,59.96,0,99998,USA
12217,19.99,5,99.95,0,99998,USA
12225,29.99,6,179.94,0,99998,USA
12226,29.99,6,179.94,0,99998,USA
12227,39.99,6,239.94,0,99998,USA
12228,39.99,6,239.94,0,99998,USA
12229,69.99,4,279.96,2,2,USA
12230,74.99,6,449.94,0,99998,USA
12231,44.99,6,269.94,0,99998,USA
12232,44.99,6,269.94,0,99998,USA
11555,19.99,5,99.95,0,99998,USA
12234,19.99,8,159.92,2,4,USA
12235,24.99,4,99.96,0,99998,USA
12237,19.99,5,99.95,0,99998,USA
12238,24.99,5,124.95,0,99998,USA
12239,24.99,5,124.95,0,99998,USA
11823,29.99,19,569.81,0,99998,USA
11486,17.99,54,971.46,99,0.77,USA
11298,89.99,0,0,0,0,USA
11299,89.99,0,0,0,0,USA
10103,89.99,0,0,0,0,USA
10716,4.99,79,394.21,1,79,USA
12139,4.99,79,394.21,1,79,USA
12140,4.99,75,374.25,5,15,USA
12166,21.99,65,1429.35,14,4.64,USA
12037,19.99,10,199.9,0,99998,USA
12224,19.99,5,99.95,0,99998,USA
,0,0,0,0,0,USA
12045,14.99,0,0,1,0,USA
