sku,article_no,selling_price,inventory_quantity,4_weeks_sales,status,factory,MOI,PO,ETA,market,DUS_quantity,total_cost,MOQ,inventory_value
PB-326BDE-11608,11608,27.99,82,96.0,STD,Togran,0.88,1000.0,2023-02-16,DE,121.0,8.86,1000.0,
PPD-704-11634,11634,29.99,40,40.0,STD,Togran,1.0,,,DE,148.0,7.85,2000.0,
PD-713PKDE-11713,11713,34.99,109,60.0,STD,SQT,1.82,,,DE,46.0,11.94,500.0,
PB-328BUS-11541,11541,29.99,11,4.0,EOL,Togran,2.75,,,DE,198.0,40.43,1000.0,
PB-428BUS-11543,11543,39.99,13,13.0,EOL,Togran,1.0,,,DE,303.0,33.5,1000.0,
DX-2000XXL-11145,11145,16.99,41,29.0,STD,TTX,1.41,,,DE,60.0,4.73,1000.0,
PD-307BDE-11367,11367,19.99,8,4.0,STD,CEZ,2.0,,,DE,168.0,11.21,20.0,
PPR-303GYL-18040,18040,9.99,7,2.0,STD,Perixx DE,4.0,,,DE,197.0,3.17,50.0,
PPR-303GLV-18038,18038,9.99,2,2.0,STD,Perixx DE,1.0,,,DE,26.0,3.17,50.0,
PPR-303GPK-18037,18037,9.99,0,0.0,STD,Perixx DE,0.0,,,DE,104.0,3.17,50.0,
PB-407WUS-10793,10793,14.99,0,0.0,STD,CEZ,0.0,160.0,2023-02-10,DE,30.0,8.65,20.0,
PB-512WUS-11528,11528,34.99,5,7.0,STD,Chicony,0.71,,,DE,10.0,14.3,504.0,
PB-612WUS-11615,11615,69.99,7,0.0,STD,Chicony,99998.0,,,DE,107.0,22.66,504.0,
PB-426US-11665,11665,19.99,23,4.0,STD,Togran,5.75,,,DE,1295.0,5.97,1000.0,
PB-706PSUS-10532,10532,39.99,7,3.0,STD,Togran,2.33,800.0,2023-02-16,DE,14.0,15.63,1000.0,
PB-106MUS-11689,11689,34.99,4,13.0,STD,Chicony,0.31,150.0,2023-02-10,DE,9.0,8.69,500.0,
PD-406US-11648,11648,44.99,15,2.0,STD,Togran,7.5,,,DE,214.0,15.6,1000.0,
PD-605BUS-11633,11633,74.99,8,3.0,STD,Togran,2.67,,,DE,0.0,21.02,1008.0,
PD-212BUS-11486,11486,17.99,24,12.0,STD,SQT,2.0,,,DE,457.0,5.5,500.0,
PD-712BUS-11267,11267,24.99,8,3.0,STD,SQT,2.67,500.0,2023-02-16,DE,22.0,7.7,500.0,
PD-712WUS-11261,11261,24.99,0,0.0,STD,SQT,0.0,,,DE,9.0,7.92,500.0,
PB-326BUS-11607,11607,27.99,13,2.0,STD,Togran,6.5,,,DE,559.0,8.64,1000.0,
PB-106MDE-11690,11690,29.99,109,59.0,STD,Chicony,1.85,,,DE,381.0,8.69,500.0,
PM-201UB-11687,11687,8.99,28,7.0,STD,SQT,4.0,,,DE,608.0,1.93,1000.0,
PD-212WDE-11699,11699,17.99,55,20.0,STD,SQT,2.85,,,DE,240.0,5.72,500.0,
PM-201CB-11703,11703,9.99,208,182.0,STD,SQT,1.18,,,DE,916.0,2.09,1000.0,
PB-805EDE-11681,11681,39.99,0,3.0,STD,BOW,0.0,500.0,2023-02-16,DE,0.0,15.13,500.0,
PB-429BDE-11685,11685,34.99,90,79.0,STD,BOW,1.15,,,DE,286.0,13.09,500.0,
MX-2500-11724,11724,14.99,31,4.0,EOL,Togran,7.75,,,DE,877.0,15.25,2000.0,
PB-210BDE-11725,11725,19.99,41,51.0,STD,BOW,0.8,,,DE,261.0,7.1,500.0,
PB-210CBDE-11728,11728,24.99,48,16.0,STD,BOW,3.0,,,DE,59.0,7.43,500.0,
PB-210CUS-11729,11729,19.99,5,0.0,STD,BOW,99998.0,920.0,2023-02-16,DE,13.0,7.43,500.0,
PPD-303B-11605,11605,29.99,6,2.0,STD,Togran,3.0,,,DE,484.0,13.72,1000.0,
PB-208BDE-11041,11041,19.99,11,1.0,STD,CEZ,11.0,,,DE,6.0,8.35,20.0,
PB-106WDE-11277,11277,29.99,11,1.0,STD,CEZ,11.0,,,DE,0.0,10.55,20.0,
PB-208WDE-11847,11847,24.99,10,3.0,STD,CEZ,3.33,,,DE,9.0,8.35,20.0,
PB-213BDE-11737,11737,24.99,87,42.0,STD,BOW,2.14,,,DE,44.0,6.6,500.0,
PPR-303X4A-18043,18043,34.99,5,1.0,STD,Perixx DE,5.0,,,DE,5.0,11.52,50.0,
PPR-303X4B-18055,18055,34.99,0,0.0,STD,Perixx DE,0.0,,,DE,10.0,11.58,50.0,
PPR-303GGO-18046,18046,9.99,5,2.0,STD,Perixx DE,7.5,,,DE,340.0,3.17,50.0,
PPR-303GBK-18047,18047,9.99,0,0.0,STD,Perixx DE,0.0,,,DE,17.0,3.17,50.0,
PPR-303GSL-18049,18049,9.99,4,1.0,STD,Perixx DE,4.0,,,DE,13.0,3.17,50.0,
PB-409UWDE-11778,11778,16.99,0,1.0,EOL,Togran,0.0,,,DE,4.0,5.68,1000.0,
PB-106BUS-11204,11204,34.99,8,1.0,STD,Chicony,8.0,,,DE,482.0,8.69,500.0,
PB-407WND-11881,11881,14.99,0,0.0,STD,CEZ,0.0,,,DE,0.0,8.65,20.0,
PB-407BND-11875,11875,19.99,12,3.0,STD,CEZ,4.0,,,DE,2.0,8.65,20.0,
PD-303WND-11897,11897,24.99,2,0.0,STD,CEZ,99998.0,,,DE,0.0,11.01,20.0,
PB-106WND-11886,11886,24.99,4,1.0,STD,CEZ,4.0,,,DE,0.0,10.55,20.0,
PB-514PPDE-10818,10818,34.99,8,8.0,STD,Togran,1.0,,,DE,362.0,12.69,1000.0,
